symbol,yf_symbol,akshare_symbol,name,market,sector_tags,market_cap,pe,float_pct,tags,is_loss,is_low_cap
00776.HK,0776.HK,00776,帝国科技集团,HK,元宇宙概念;行业:软件服务,4.34,-11.27,100.0,【低市值】【亏损】【高流通】,1,1
08227.HK,8227.HK,08227,海天天线,HK,5G概念;行业:资讯科技器材,4.33,-44.85,33.95,【低市值】【亏损】,1,1
01831.HK,1831.HK,01831,十方控股,HK,行业:媒体及娱乐,4.3,-9.1,100.0,【低市值】【亏损】【高流通】,1,1
01985.HK,1985.HK,01985,美高域,HK,行业:软件服务,4.29,-269.47,100.0,【低市值】【亏损】【高流通】,1,1
06933.HK,6933.HK,06933,新娱科控股,HK,行业:软件服务,4.24,-13.21,100.0,【低市值】【亏损】【高流通】,1,1
00419.HK,0419.HK,00419,弘毅文化集团,HK,行业:软件服务,4.15,-6.22,100.0,【低市值】【亏损】【高流通】,1,1
00082.HK,0082.HK,00082,疯狂体育,HK,行业:媒体及娱乐,4.12,-84.61,100.0,【低市值】【亏损】【高流通】,1,1
06698.HK,6698.HK,06698,星空华文,HK,行业:媒体及娱乐,3.99,-3.05,100.0,【低市值】【亏损】【高流通】,1,1
08645.HK,8645.HK,08645,比特元宇宙,HK,行业:软件服务,3.93,-32.99,100.0,【低市值】【亏损】【高流通】,1,1
06830.HK,6830.HK,06830,华众车载,HK,行业:汽车,3.93,9.86,100.0,【低市值】【低PE】【高流通】,0,1
00320.HK,0320.HK,00320,金宝通,HK,智能建筑,3.92,5.78,100.0,【低市值】【低PE】【高流通】,0,1
00465.HK,0465.HK,00465,富通科技,HK,行业:软件服务,3.92,-5.32,100.0,【低市值】【亏损】【高流通】,1,1
08220.HK,8220.HK,08220,比高集团,HK,行业:媒体及娱乐,3.88,-17.76,100.0,【低市值】【亏损】【高流通】,1,1
08611.HK,8611.HK,08611,九福来,HK,行业:软件服务,3.84,-90.07,100.0,【低市值】【亏损】【高流通】,1,1
01159.HK,1159.HK,01159,智数科技集团,HK,行业:媒体及娱乐,3.84,1.9,100.0,【低市值】【低PE】【高流通】,0,1
00114.HK,0114.HK,00114,HERALD HOLD,HK,行业:家庭电器及用品,3.81,7.63,100.0,【低市值】【低PE】【高流通】,0,1
00894.HK,0894.HK,00894,万裕科技,HK,电子信息,3.79,60.59,100.0,【低市值】【高流通】,0,1
02336.HK,2336.HK,02336,硕奥国际,HK,"电子信息,芯片替代",3.74,-49.92,100.0,【低市值】【亏损】【高流通】,1,1
02457.HK,2457.HK,02457,步阳国际,HK,行业:汽车,3.65,29.8,100.0,【低市值】【高流通】,0,1
00543.HK,0543.HK,00543,太平洋网络,HK,电子商务,3.63,66.67,100.0,【低市值】【高流通】,0,1
02131.HK,2131.HK,02131,云想科技,HK,"SaaS概念,AIGC概念;行业:媒体及娱乐",3.62,-850.83,100.0,【低市值】【亏损】【高流通】,1,1
01130.HK,1130.HK,01130,中国环境资源,HK,行业:汽车,3.6,-22.28,100.0,【低市值】【亏损】【高流通】,1,1
00685.HK,0685.HK,00685,世界华文媒体,HK,行业:媒体及娱乐,3.57,-4.26,100.0,【低市值】【亏损】【高流通】,1,1
01348.HK,1348.HK,01348,滉达富控股,HK,行业:家庭电器及用品,3.57,-19.36,100.0,【低市值】【亏损】【高流通】,1,1
08229.HK,8229.HK,08229,未来数据集团,HK,行业:软件服务,3.52,-8.99,100.0,【低市值】【亏损】【高流通】,1,1
00413.HK,0413.HK,00413,南华集团控股,HK,行业:家庭电器及用品,3.44,-0.24,100.0,【低市值】【亏损】【高流通】,1,1
08050.HK,8050.HK,08050,城市酷选,HK,软件外包,3.44,152.36,100.0,【低市值】【高流通】,0,1
06860.HK,6860.HK,06860,指尖悦动,HK,游戏概念;行业:软件服务,3.43,-8.78,100.0,【低市值】【亏损】【高流通】,1,1
00396.HK,0396.HK,00396,兴利(香港)控股,HK,行业:家庭电器及用品,3.39,431.26,100.0,【低市值】【高流通】,0,1
00150.HK,0150.HK,00150,HYPEBEAST,HK,AIGC概念;行业:媒体及娱乐,3.39,-9.6,100.0,【低市值】【亏损】【高流通】,1,1
00423.HK,0423.HK,00423,经济日报集团,HK,行业:媒体及娱乐,3.37,-13.19,100.0,【低市值】【亏损】【高流通】,1,1
01037.HK,1037.HK,01037,云智汇科技,HK,电子信息;行业:软件服务,3.35,-20.82,100.0,【低市值】【亏损】【高流通】,1,1
00912.HK,0912.HK,00912,信佳国际,HK,"电子信息,消费电子;行业:家庭电器及用品",3.3,10.19,100.0,【低市值】【低PE】【高流通】,0,1
00361.HK,0361.HK,00361,汉成发展控股,HK,行业:家庭电器及用品,3.28,-13.33,100.0,【低市值】【亏损】【高流通】,1,1
01148.HK,1148.HK,01148,新晨动力,HK,行业:汽车,3.27,14.65,100.0,【低市值】【低PE】【高流通】,0,1
02222.HK,2222.HK,02222,雷士国际,HK,智能家居;行业:家庭电器及用品,3.25,3.5,100.0,【低市值】【低PE】【高流通】,0,1
01097.HK,1097.HK,01097,有线宽频,HK,"数据中心,F5G概念;行业:媒体及娱乐",3.21,-0.66,100.0,【低市值】【亏损】【高流通】,1,1
01490.HK,1490.HK,01490,车市科技,HK,SaaS概念;行业:媒体及娱乐,3.21,-83.87,100.0,【低市值】【亏损】【高流通】,1,1
00713.HK,0713.HK,00713,世界(集团),HK,行业:家庭电器及用品,3.05,-1.47,100.0,【低市值】【亏损】【高流通】,1,1
00046.HK,0046.HK,00046,科联系统,HK,软件外包;行业:软件服务,3.01,16.29,100.0,【低市值】【低PE】【高流通】,0,1
01993.HK,1993.HK,01993,雅仕维,HK,行业:媒体及娱乐,3.01,20.42,100.0,【低市值】【高流通】,0,1
01110.HK,1110.HK,01110,金活医药集团,HK,AI智能医疗,2.96,23.67,100.0,【低市值】【高流通】,0,1
01402.HK,1402.HK,01402,超智能控股,HK,软件外包;行业:软件服务,2.94,-189.77,100.0,【低市值】【亏损】【高流通】,1,1
02239.HK,2239.HK,02239,国微控股,HK,"区块链,芯片替代;行业:资讯科技器材",2.92,-7.09,100.0,【低市值】【亏损】【高流通】,1,1
02381.HK,2381.HK,02381,蚬壳电业,HK,行业:家庭电器及用品,2.9,30.6,100.0,【低市值】【高流通】,0,1
01335.HK,1335.HK,01335,顺泰控股,HK,行业:半导体,2.9,-3.82,100.0,【低市值】【亏损】【高流通】,1,1
01917.HK,1917.HK,01917,豆盟科技,HK,行业:媒体及娱乐,2.9,-11.45,100.0,【低市值】【亏损】【高流通】,1,1
06988.HK,6988.HK,06988,乐享集团,HK,"电子商务,云计算,SaaS概念,AIGC概念;行业:媒体及娱乐",2.89,-1.79,100.0,【低市值】【亏损】【高流通】,1,1
00318.HK,0318.HK,00318,黄河实业,HK,行业:软件服务,2.88,26.07,100.0,【低市值】【高流通】,0,1
00953.HK,0953.HK,00953,邵氏兄弟控股,HK,行业:媒体及娱乐,2.84,-18.05,100.0,【低市值】【亏损】【高流通】,1,1
01455.HK,1455.HK,01455,科利实业控股,HK,行业:家庭电器及用品,2.84,12.08,100.0,【低市值】【低PE】【高流通】,0,1
